Route,admin,edit,org_auditor,rules_admin,superadmin,systemadmin,view,Protected
GET NgJiraBugtrackersRestController.getJiraBugtrackerForLibrary,,YES,,,,,,YES
POST NgJiraBugtrackersRestController.getAssignableUsersByProjectId,,YES,,,,,,YES
GET NgJiraBugtrackersRestController.getAssignableUsersByBugtrackerIdAndProjectId,,YES,,,,,,YES
GET NgJiraBugtrackersRestController.getAssignableUserByBugtrackerIdAndProjectIdAndJiraAccountId,,YES,,,,,,YES
GET NgJiraBugtrackersRestController.getPriorityByInstances,,YES,,,,,,YES
GET NgJiraBugtrackersRestController.buildURLWebhook,YES,,,,,,,YES
GET NgJiraBugtrackersRestController.buildURLWebhookFromExisting,YES,,,,,,,YES
GET NgVSTSBugtrackersRestController.getVSTSBugtracker,YES,,,,,,,YES
GET NgVSTSBugtrackersRestController.getBugtrackerByApplication,,YES,,,,,,YES
GET NgVSTSBugtrackersRestController.getJiraBugtrackerForLibrary,,YES,,,,,,YES
GET NgVSTSBugtrackersRestController.createVSTSBugtracker,YES,,,,,,,YES
GET NgVSTSBugtrackersRestController.editBugtracker,YES,,,,,,,YES
GET NgVSTSBugtrackersRestController.testNewBugtracker,YES,,,,,,,YES
GET NgVSTSBugtrackersRestController.testExistingBugtracker,YES,,,,,,,YES
GET NgVSTSBugtrackersRestController.getVSTSProjects,,YES,,,,,,YES
GET NgVSTSBugtrackersRestController.getVSTSProjects,,YES,,,,,,YES
GET NgVSTSBugtrackersRestController.getVSTSProjectSettings,,YES,,,,,,YES
GET NgVSTSBugtrackersRestController.getVSTSProjectSettings,,,,,,,,
GET NgVSTSBugtrackersRestController.getWorkItemCustomFields,,,,,,,,
GET NgVSTSBugtrackersRestController.getVSTSTeamMembers,,,,,,,,
GET NgVSTSBugtrackersRestController.getVSTSTeamMembers,,,,,,,,
GET NgVSTSBugtrackersRestController.getVSTSProjectTeams,,YES,,,,,,YES
GET NgVSTSBugtrackersRestController.getVSTSProjectTeams,,YES,,,,,,YES
GET NgVSTSBugtrackersRestController.getTeamAreas,,YES,,,,,,YES
GET NgVSTSBugtrackersRestController.getTeamAreas,,YES,,,,,,YES
GET NgVSTSBugtrackersRestController.getPriorityByInstances,,YES,,,,,,YES
GET NgAgentFeatureRestController.getAgentFeatures,,,,,,,,
GET NgFeatureToggleRestController.getFlags,,,,,,,,
GET NgFeatureToggleRestController.getFlagsByKeys,,,,,,,,
GET NgPublicCustomSettingsRestController.getCustomSettings,,,,,,,,
GET NgPublicInformationController.getPublicInformation,,,,,,,,
GET NgPublicPasswordPolicyRestController.getPasswordPolicyReset,,,,,,,,
GET NgPublicPasswordPolicyRestController.getPasswordPolicyForNewUser,,,,,,,,
GET NgPublicPasswordRestController.requestResetToken,,,,,,,,
GET NgPublicPasswordRestController.updatePassword,,,,,,,,
GET NgPublicStatusController.getPublicStatus,,,,,,,,
GET NgPublicWebhookRestController.processJIRAWebhook,,,,,,,,
GET NgPublicWebhookRestController.processVSTSWebhook,,,,,,,,
GET NgPublicRegisterController.createNewTrialUser,,,,,,,,
GET NgComplianceRestController.getComplianceReports,,,,,,,,
GET NgSecurityControlSuggestionsRestController.getSecurityControlsSuggestions,,,,YES,,,,YES
GET NgSecurityControlSuggestionsRestController.removeSuggestion,,,,YES,,,,YES
GET NgSecurityControlSuggestionsRestController.acceptSuggestion,,,,YES,,,,YES
GET NgSecurityControlSuggestionsRestController.undoSuggestionDeletion,,,,YES,,,,YES
GET NgSecurityControlsRestController.getSecurityControlsQuickFilters,,,,YES,,,,YES
GET NgSecurityControlsRestController.getSecurityControlsData,,,,YES,,,,YES
GET NgSecurityControlsRestController.getSecurityControl,,,,YES,,,,YES
GET NgSecurityControlsRestController.createValidator,,,,YES,,,,YES
GET NgSecurityControlsRestController.createSanitizer,,,,YES,,,,YES
GET NgSecurityControlsRestController.editSecurityControl,,,,YES,,,,YES
GET NgSecurityControlsRestController.enableValidator,,,,YES,,,,YES
GET NgSecurityControlsRestController.deleteRuleValidator,,,,YES,,,,YES
GET NgSecurityControlsRestController.createSanitizer,,,,YES,,,,YES
GET NgSecurityControlsRestController.createValidator,,,,YES,,,,YES
GET NgSecurityControlsRestController.addMarkApi,,,,YES,,,,YES
GET NgDocRestController.getRestApiDoc,,,,,,,,
GET NgEventsRestController.getLatestEvents,,,,,,,,
GET NgEventsRestController.getNewestApplications,,,,,,,,
GET NgEventsRestController.getMostRecentServersStartup,,,,,,,,
GET NgEventsRestController.getMostRecentVulnerabilties,,,,,,,,
GET NgExclusionsRestController.getExclusions,,,,YES,,,,YES
GET NgGlobalRestController.getDateFormats,,,,,,,,
GET NgGlobalRestController.getTimeFormats,,,,,,,,
